Units,Discounts,Fixed Costs,Variable Costs,Revenue,month,qtr,Year,region,country,State,ProductType,Product,Source,YearMonth
13,162.79,603.26,1088.42,66689.3,December,Qtr 4,2017,AMERICAS,United States,Maryland,Cosmetics,Skin,Mexico,2017-12
12,24.5,114.9,452.43,13041.7,July,Qtr 3,2017,AMERICAS,United States,Pennsylvania,Avocados,Avocado,Mexico,2017-07
9,29.48,46.75,220.71,6261.7,February,Qtr 1,2017,AMERICAS,United States,Illinois,Avocados,Avocado,Dominican Republic,2017-02
9,27.37,132.75,126.83,6615.8,March,Qtr 1,2017,AMERICAS,United States,West Virginia,Oils and Butters,Butter,Dominican Republic,2017-03
9,28.93,114.66,465.1,5915.8,February,Qtr 1,2017,AMERICAS,United States,Alabama,Avocados,Avocado,Mexico,2017-02
13,439.94,831.87,956.32,58564.8,May,Qtr 2,2017,AMERICAS,United States,Oregon,Oils and Butters,Oil,Dominican Republic,2017-05
11,94.82,717.13,4709.79,50486.9,May,Qtr 2,2017,AMERICAS,United States,Rhode Island,Avocados,Avocado,Peru,2017-05
13,151.53,2323.32,8035,64565.1,December,Qtr 4,2017,AMERICAS,United States,California,Cosmetics,Hair,Mexico,2017-12
11,94.82,788.84,4709.79,50486.9,April,Qtr 2,2017,AMERICAS,United States,Missouri,Cosmetics,Skin,Peru,2017-04
10,0,436.45,1569.38,50441.5,May,Qtr 2,2017,AMERICAS,United States,Nevada,Avocados,Avocado,Dominican Republic,2017-05
9,186.27,548.23,29918.98,49590.5,May,Qtr 2,2017,AMERICAS,United States,Hawaii,Avocados,Avocado,Peru,2017-05
12,102.15,101.41,389.57,12797.5,February,Qtr 1,2017,AMERICAS,United States,Georgia,Cosmetics,Hair,Dominican Republic,2017-02
10,0,155.17,742.02,8807.2,July,Qtr 3,2017,AMERICAS,United States,Rhode Island,Avocados,Avocado,Mexico,2017-07
13,99.24,922.07,6132.64,64060.7,December,Qtr 4,2017,AMERICAS,United States,Missouri,Oils and Butters,Oil,Mexico,2017-12
4,1.96,50.51,84.54,646.8,February,Qtr 1,2017,AMERICAS,United States,North Dakota,Cosmetics,Skin,Peru,2017-02
9,186.27,548.23,1495.95,49590.5,May,Qtr 2,2017,AMERICAS,United States,Indiana,Avocados,Avocado,Dominican Republic,2017-05
10,85.44,322.79,296.99,13991.4,January,Qtr 1,2017,AMERICAS,United States,New Jersey,Avocados,Avocado,Mexico,2017-01
11,0,689.55,575.91,48545.1,May,Qtr 2,2017,AMERICAS,United States,Idaho,Avocados,Avocado,Dominican Republic,2017-05
4,0,4.22,16.51,532.3,March,Qtr 1,2017,AMERICAS,United States,Louisiana,Avocados,Avocado,Dominican Republic,2017-03
9,45.91,1672.08,5531.04,44446.7,April,Qtr 2,2017,AMERICAS,United States,Maryland,Avocados,Avocado,Peru,2017-04
9,198.38,318.02,1314.85,42267.4,April,Qtr 2,2017,AMERICAS,United States,Oregon,Avocados,Avocado,Peru,2017-04
13,0,452.37,2300.75,62857.9,June,Qtr 2,2017,AMERICAS,United States,New York,Avocados,Avocado,Dominican Republic,2017-06
5,0,20.46,104.61,2880.3,June,Qtr 2,2017,AMERICAS,United States,Ohio,Avocados,Avocado,Peru,2017-06
8,34.17,619.15,2859.14,28001.7,January,Qtr 1,2017,AMERICAS,United States,New Jersey,Avocados,Avocado,Mexico,2017-01
13,68.39,1096.13,1373.2,66220.7,November,Qtr 4,2017,AMERICAS,United States,New York,Oils and Butters,Oil,Dominican Republic,2017-11
9,43.19,1467.08,95.24,7652.3,March,Qtr 1,2017,AMERICAS,United States,South Carolina,Cosmetics,Skin,Peru,2017-03
4,1.96,20.23,8.46,647.1,March,Qtr 1,2017,AMERICAS,United States,Michigan,Avocados,Avocado,Mexico,2017-03
13,260.91,1095.28,5146.74,66168.9,November,Qtr 4,2017,AMERICAS,United States,New Hampshire,Avocados,Avocado,Peru,2017-11
21,0,226.53,696.08,21601.9,June,Qtr 2,2017,AMERICAS,United States,Wyoming,Avocados,Avocado,Mexico,2017-06
13,184.67,1085.43,1020.1,65574,November,Qtr 4,2017,AMERICAS,United States,Rhode Island,Avocados,Avocado,Peru,2017-11
13,184.18,541.21,2034.15,65392.9,November,Qtr 4,2017,AMERICAS,United States,Indiana,Oils and Butters,Butter,Mexico,2017-11
8,43.94,664.56,2712.1,23396.9,July,Qtr 3,2017,AMERICAS,United States,New Jersey,Avocados,Avocado,Peru,2017-07
13,6.3,231.14,22.07,1513.1,January,Qtr 1,2017,AMERICAS,United States,Alaska,Avocados,Avocado,Peru,2017-01
10,23.08,245.49,169.84,11704.3,July,Qtr 3,2017,AMERICAS,United States,Delaware,Avocados,Avocado,Mexico,2017-07
12,0,183.19,143.84,11561.8,July,Qtr 3,2017,AMERICAS,United States,Washington,Avocados,Avocado,Peru,2017-07
4,27.47,66.32,400.78,4185.7,January,Qtr 1,2017,AMERICAS,United States,Rhode Island,Avocados,Avocado,Dominican Republic,2017-01
9,53.55,1532.68,5070.29,40741.2,April,Qtr 2,2017,AMERICAS,United States,Vermont,Avocados,Avocado,Peru,2017-04
13,244.38,1077.08,1350.07,65069.6,November,Qtr 4,2017,AMERICAS,United States,Florida,Avocados,Avocado,Peru,2017-11
13,229.21,566.3,6813.74,62603.8,June,Qtr 2,2017,AMERICAS,United States,Maryland,Avocados,Avocado,Peru,2017-06
9,4.04,8.06,42.67,1080.5,March,Qtr 1,2017,AMERICAS,United States,Nebraska,Avocados,Avocado,Peru,2017-03
10,106.84,246.2,983.87,28454.2,June,Qtr 2,2017,AMERICAS,United States,New Jersey,Cosmetics,Skin,Mexico,2017-06
9,18.18,76.7,273.8,8802.1,February,Qtr 1,2017,AMERICAS,United States,Indiana,Avocados,Avocado,Dominican Republic,2017-02
13,227.48,602.84,1318.79,60584.3,September,Qtr 3,2017,AMERICAS,United States,Indiana,Avocados,Avocado,Mexico,2017-09
12,6.37,123.51,505.44,6155.4,July,Qtr 3,2017,AMERICAS,United States,Arizona,Avocados,Avocado,Dominican Republic,2017-07
13,307.45,284.79,2284.62,62966.2,November,Qtr 4,2017,AMERICAS,United States,Florida,Avocados,Avocado,Dominican Republic,2017-11
9,62.96,166.98,198.41,9580.8,February,Qtr 1,2017,AMERICAS,United States,West Virginia,Avocados,Avocado,Mexico,2017-02
10,2.53,13.56,45.36,1351.8,August,Qtr 3,2017,AMERICAS,United States,New Jersey,Avocados,Avocado,Peru,2017-08
9,9.29,109.72,251.8,2187.2,January,Qtr 1,2017,AMERICAS,United States,Iowa,Avocados,Avocado,Dominican Republic,2017-01
10,11.74,99.06,634.37,6250.3,June,Qtr 2,2017,AMERICAS,United States,Pennsylvania,Avocados,Avocado,Peru,2017-06
9,5.61,57.75,24.31,1848.6,February,Qtr 1,2017,AMERICAS,United States,Kansas,Oils and Butters,Oil,Mexico,2017-02
13,91.45,444.13,2252.38,22917.1,January,Qtr 1,2017,AMERICAS,United States,North Dakota,Avocados,Avocado,Peru,2017-01
8,1.24,5.23,25.26,330.4,February,Qtr 1,2017,AMERICAS,United States,Kentucky,Avocados,Avocado,Dominican Republic,2017-02
12,72.85,583.87,482.88,38801.2,April,Qtr 2,2017,AMERICAS,United States,Alaska,Cosmetics,Hair,Mexico,2017-04
12,9.67,42.58,228.37,2572.5,August,Qtr 3,2017,AMERICAS,United States,Kentucky,Avocados,Avocado,Peru,2017-08
13,79.31,600.39,716.46,60338.3,September,Qtr 3,2017,AMERICAS,United States,Utah,Avocados,Avocado,Peru,2017-09
12,0,126.14,384.17,13016.9,March,Qtr 1,2017,AMERICAS,United States,West Virginia,Avocados,Avocado,Mexico,2017-03
13,153.57,1041.33,4349.99,62909.6,November,Qtr 4,2017,AMERICAS,United States,Iowa,Avocados,Avocado,Dominican Republic,2017-11
9,29.57,145.46,589.9,7505.5,February,Qtr 1,2017,AMERICAS,United States,South Carolina,Avocados,Avocado,Mexico,2017-02
8,24.71,1647.37,100.43,7516.6,January,Qtr 1,2017,AMERICAS,United States,Utah,Avocados,Avocado,Mexico,2017-01
4,1.96,192.01,8.46,646.8,March,Qtr 1,2017,AMERICAS,United States,Pennsylvania,Avocados,Avocado,Mexico,2017-03
13,237.77,299.94,1968.67,60287.2,September,Qtr 3,2017,AMERICAS,United States,West Virginia,Avocados,Avocado,Peru,2017-09
8,0,277.87,926.7,25134.5,January,Qtr 1,2017,AMERICAS,United States,Ohio,Avocados,Avocado,Mexico,2017-01
13,109.19,1513.97,5061.68,38758.4,April,Qtr 2,2017,AMERICAS,United States,Connecticut,Cosmetics,Hair,Dominican Republic,2017-04
9,174.81,727.44,276.86,23278.4,March,Qtr 1,2017,AMERICAS,United States,Virginia,Avocados,Avocado,Dominican Republic,2017-03
10,0,319.47,1929.5,20162.9,June,Qtr 2,2017,AMERICAS,United States,Vermont,Avocados,Avocado,Dominican Republic,2017-06
9,31.41,185,625.01,9545.7,March,Qtr 1,2017,AMERICAS,United States,South Carolina,Oils and Butters,Oil,Peru,2017-03
11,0,424.16,1446.74,38367.4,April,Qtr 2,2017,AMERICAS,United States,Delaware,Avocados,Avocado,Peru,2017-04
12,74.95,328.94,1478.83,38016.1,May,Qtr 2,2017,AMERICAS,United States,Alabama,Avocados,Avocado,Peru,2017-05
6,1.6,6.03,33.03,380.8,August,Qtr 3,2017,AMERICAS,United States,Nebraska,Avocados,Avocado,Peru,2017-08
11,238.98,750.54,2925.96,33944.4,May,Qtr 2,2017,AMERICAS,United States,Rhode Island,Avocados,Avocado,Peru,2017-05
13,46.92,248.69,2040.52,24992.5,August,Qtr 3,2017,AMERICAS,United States,Louisiana,Avocados,Avocado,Peru,2017-08
12,0.89,6.36,21.29,634.8,August,Qtr 3,2017,AMERICAS,United States,Missouri,Cosmetics,Hair,Peru,2017-08
13,471.31,587.77,5143.06,59069.7,September,Qtr 3,2017,AMERICAS,United States,Pennsylvania,Avocados,Avocado,Peru,2017-09
13,159.23,481.69,402.61,33911.7,May,Qtr 2,2017,AMERICAS,United States,Colorado,Avocados,Avocado,Dominican Republic,2017-05
12,176.52,467.82,2486.68,33568.1,May,Qtr 2,2017,AMERICAS,United States,California,Avocados,Avocado,Peru,2017-05
5,0,5.74,26.42,808.4,June,Qtr 2,2017,AMERICAS,United States,Rhode Island,Avocados,Avocado,Dominican Republic,2017-06
11,0,520.84,3627.72,33334.3,April,Qtr 2,2017,AMERICAS,United States,Wisconsin,Oils and Butters,Oil,Peru,2017-04
19,1.94,7.4,35.32,921.9,January,Qtr 1,2017,AMERICAS,United States,Maryland,Avocados,Avocado,Peru,2017-01
10,93.79,288.17,1219.28,58871.1,May,Qtr 2,2017,AMERICAS,United States,California,Avocados,Avocado,Peru,2017-05
21,122.33,4540.45,385.51,32578.8,May,Qtr 2,2017,AMERICAS,United States,Georgia,Avocados,Avocado,Dominican Republic,2017-05
12,60.8,974.48,6105.47,57503.3,September,Qtr 3,2017,AMERICAS,United States,California,Avocados,Avocado,Dominican Republic,2017-09
33,115.85,590.26,1155.38,61693.4,November,Qtr 4,2017,AMERICAS,United States,California,Cosmetics,Skin,Peru,2017-11
13,285.96,264.89,2390.29,58564.8,June,Qtr 2,2017,AMERICAS,United States,New York,Avocados,Avocado,Mexico,2017-06
9,37.18,174.37,707.89,8997.5,January,Qtr 1,2017,AMERICAS,United States,New Hampshire,Avocados,Avocado,Peru,2017-01
13,218.92,580.04,5856.34,58293,September,Qtr 3,2017,AMERICAS,United States,Wyoming,Avocados,Avocado,Dominican Republic,2017-09
19,53.51,219.34,758.12,19015.1,January,Qtr 1,2017,AMERICAS,United States,Michigan,Avocados,Avocado,Peru,2017-01
33,115.85,590.26,4948.43,61693.4,November,Qtr 4,2017,AMERICAS,United States,West Virginia,Oils and Butters,Oil,Mexico,2017-11
11,60.74,505.66,2348.04,32363.4,April,Qtr 2,2017,AMERICAS,United States,Louisiana,Oils and Butters,Butter,Peru,2017-04
11,60.74,4803.83,444.87,32363.4,April,Qtr 2,2017,AMERICAS,United States,Ohio,Avocados,Avocado,Peru,2017-04
13,238.04,499.52,2347.02,60355.2,November,Qtr 4,2017,AMERICAS,United States,New York,Avocados,Avocado,Peru,2017-11
11,60.74,505.66,3019.05,32363.4,April,Qtr 2,2017,AMERICAS,United States,Kentucky,Avocados,Avocado,Peru,2017-04
12,411.4,906.74,4869.09,54779.5,September,Qtr 3,2017,AMERICAS,United States,South Carolina,Avocados,Avocado,Dominican Republic,2017-09
21,127.54,518.09,358.34,24703.3,July,Qtr 3,2017,AMERICAS,United States,New Hampshire,Oils and Butters,Butter,Peru,2017-07
11,60.74,459.69,3251.52,32363.4,May,Qtr 2,2017,AMERICAS,United States,Texas,Cosmetics,Skin,Peru,2017-05
9,35.23,283.05,1234.09,17864.4,January,Qtr 1,2017,AMERICAS,United States,Louisiana,Avocados,Avocado,Peru,2017-01
9,0,443.16,1810.82,46561.4,February,Qtr 1,2017,AMERICAS,United States,Connecticut,Avocados,Avocado,Peru,2017-02
10,0,559.55,402.41,51088.2,May,Qtr 2,2017,AMERICAS,United States,California,Avocados,Avocado,Peru,2017-05
8,78.68,110.55,542.64,13953.3,January,Qtr 1,2017,AMERICAS,United States,Wisconsin,Oils and Butters,Oil,Peru,2017-01
12,0,11686.01,579.77,52853,October,Qtr 4,2017,AMERICAS,United States,Missouri,Oils and Butters,Oil,Peru,2017-10
8,54.17,201.67,697.06,19231.8,June,Qtr 2,2017,AMERICAS,United States,Michigan,Avocados,Avocado,Dominican Republic,2017-06
9,2.87,9.17,4.62,456.8,March,Qtr 1,2017,AMERICAS,United States,Alabama,Cosmetics,Hair,Dominican Republic,2017-03
11,0,4362.75,444.87,32331,May,Qtr 2,2017,AMERICAS,United States,Connecticut,Avocados,Avocado,Dominican Republic,2017-05
9,18.4,173.05,965.3,9822.2,August,Qtr 3,2017,AMERICAS,United States,Texas,Avocados,Avocado,Peru,2017-08
13,54.08,120.65,417.25,11506.5,August,Qtr 3,2017,AMERICAS,United States,Nevada,Oils and Butters,Oil,Peru,2017-08
11,0,309.75,1427.49,14769.2,August,Qtr 3,2017,AMERICAS,United States,Mississippi,Avocados,Avocado,Peru,2017-08
11,0,252.58,1055.66,32331,April,Qtr 2,2017,AMERICAS,United States,Alabama,Avocados,Avocado,Mexico,2017-04
11,0,459.24,3015.88,32331,May,Qtr 2,2017,AMERICAS,United States,Georgia,Avocados,Avocado,Peru,2017-05
9,0,198.42,1017.14,12519.2,February,Qtr 1,2017,AMERICAS,United States,Minnesota,Avocados,Avocado,Peru,2017-02
11,132.66,468.55,4392.78,47088.8,July,Qtr 3,2017,AMERICAS,United States,Nebraska,Avocados,Avocado,Dominican Republic,2017-07
10,121.3,486.08,3092.47,32302,April,Qtr 2,2017,AMERICAS,United States,Minnesota,Oils and Butters,Oil,Peru,2017-04
10,98.39,433.52,2037.16,52381.6,October,Qtr 4,2017,AMERICAS,United States,Pennsylvania,Avocados,Avocado,Dominican Republic,2017-10
6,1.79,15.16,97.15,956.7,August,Qtr 3,2017,AMERICAS,United States,Rhode Island,Avocados,Avocado,Peru,2017-08
9,117.35,738.92,555.32,44640.7,August,Qtr 3,2017,AMERICAS,United States,Hawaii,Avocados,Avocado,Mexico,2017-08
9,0,109.6,333.47,11310.4,February,Qtr 1,2017,AMERICAS,United States,Washington,Avocados,Avocado,Peru,2017-02
11,145.8,468.41,5635.5,51781.4,October,Qtr 4,2017,AMERICAS,United States,Illinois,Avocados,Avocado,Mexico,2017-10
21,83.68,501.66,4205.26,52433.6,September,Qtr 3,2017,AMERICAS,United States,Wyoming,Cosmetics,Skin,Dominican Republic,2017-09
12,4.76,42.84,35.22,2250.1,February,Qtr 1,2017,AMERICAS,United States,Missouri,Avocados,Avocado,Mexico,2017-02
9,46.1,233.77,1273.62,42409,February,Qtr 1,2017,AMERICAS,United States,California,Oils and Butters,Oil,Peru,2017-02
12,0,153.06,9313.74,15794.9,March,Qtr 1,2017,AMERICAS,United States,Maryland,Avocados,Avocado,Dominican Republic,2017-03
10,121.3,243.04,1005.01,32302,April,Qtr 2,2017,AMERICAS,United States,Colorado,Avocados,Avocado,Dominican Republic,2017-04
12,40.93,240.89,703.23,21789.8,July,Qtr 3,2017,AMERICAS,United States,South Carolina,Avocados,Avocado,Peru,2017-07
11,121.3,252.33,1318.79,32298.7,April,Qtr 2,2017,AMERICAS,United States,Minnesota,Avocados,Avocado,Peru,2017-04
11,0,521.69,5706.29,52428.7,May,Qtr 2,2017,AMERICAS,United States,Vermont,Avocados,Avocado,Dominican Republic,2017-05
10,53.34,201.53,675.45,8735.6,February,Qtr 1,2017,AMERICAS,United States,Nevada,Avocados,Avocado,Dominican Republic,2017-02
13,121.77,258.2,1994.03,51898,May,Qtr 2,2017,AMERICAS,United States,Montana,Avocados,Avocado,Peru,2017-05
11,191.99,462.55,1112.73,51134.2,October,Qtr 4,2017,AMERICAS,United States,Louisiana,Avocados,Avocado,Mexico,2017-10
12,35.49,47.44,150.89,4728.6,August,Qtr 3,2017,AMERICAS,United States,Illinois,Oils and Butters,Oil,Mexico,2017-08
12,31.26,107.68,6552.38,11112,March,Qtr 1,2017,AMERICAS,United States,New Hampshire,Avocados,Avocado,Peru,2017-03
9,11.77,73.58,344.19,3796.9,March,Qtr 1,2017,AMERICAS,United States,Maryland,Avocados,Avocado,Peru,2017-03
10,0,845.65,635.8,51088.2,October,Qtr 4,2017,AMERICAS,United States,Nebraska,Oils and Butters,Oil,Peru,2017-10
9,20.71,200.01,162.97,10506.7,February,Qtr 1,2017,AMERICAS,United States,North Dakota,Oils and Butters,Oil,Peru,2017-02
19,112.66,461.16,1449.09,19990.2,March,Qtr 1,2017,AMERICAS,United States,South Dakota,Cosmetics,Skin,Mexico,2017-03
10,0,845.65,578.45,51088.2,October,Qtr 4,2017,AMERICAS,United States,Tennessee,Oils and Butters,Butter,Dominican Republic,2017-10
9,53.66,265.29,1456.3,15221.7,February,Qtr 1,2017,AMERICAS,United States,Arizona,Avocados,Avocado,Dominican Republic,2017-02
10,0,834.95,570.4,50441.5,October,Qtr 4,2017,AMERICAS,United States,Michigan,Oils and Butters,Oil,Peru,2017-10
19,20.11,98.42,597.39,6120.4,January,Qtr 1,2017,AMERICAS,United States,Virginia,Avocados,Avocado,Dominican Republic,2017-01
11,121.3,504.66,527.31,32298.7,April,Qtr 2,2017,AMERICAS,United States,Mississippi,Cosmetics,Hair,Dominican Republic,2017-04
9,20.55,76.98,260.34,7942.4,February,Qtr 1,2017,AMERICAS,United States,California,Avocados,Avocado,Peru,2017-02
10,186.27,548.23,1359.95,49590.5,October,Qtr 4,2017,AMERICAS,United States,Kentucky,Oils and Butters,Oil,Peru,2017-10
11,0,227.09,1227.92,31975,May,Qtr 2,2017,AMERICAS,United States,Hawaii,Avocados,Avocado,Mexico,2017-05
10,0,220.5,288.68,13916.3,July,Qtr 3,2017,AMERICAS,United States,Rhode Island,Cosmetics,Skin,Mexico,2017-07
9,84.64,504.71,2357.08,26514.1,January,Qtr 1,2017,AMERICAS,United States,Wisconsin,Avocados,Avocado,Peru,2017-01
11,138.57,1112.46,6424.86,49192.4,October,Qtr 4,2017,AMERICAS,United States,Texas,Oils and Butters,Butter,Peru,2017-10
12,0,1325.38,115.07,8805.3,July,Qtr 3,2017,AMERICAS,United States,Ohio,Oils and Butters,Oil,Mexico,2017-07
24,12.39,56.48,341.97,5280.2,August,Qtr 3,2017,AMERICAS,United States,Kansas,Oils and Butters,Oil,Mexico,2017-08
11,117.07,919.01,3064.83,41564.6,January,Qtr 1,2017,AMERICAS,United States,Kentucky,Cosmetics,Skin,Peru,2017-01
9,40.84,45.94,196.24,5798.5,March,Qtr 1,2017,AMERICAS,United States,North Dakota,Cosmetics,Skin,Dominican Republic,2017-03
11,0,454.18,379.37,31975,May,Qtr 2,2017,AMERICAS,United States,Ohio,Avocados,Avocado,Dominican Republic,2017-05
10,0,813.53,611.65,49148.1,October,Qtr 4,2017,AMERICAS,United States,New York,Oils and Butters,Oil,Peru,2017-10
10,0,1082.03,4129.07,48938,October,Qtr 4,2017,AMERICAS,United States,Kentucky,Oils and Butters,Butter,Peru,2017-10
11,0,247.78,1294.48,31716.1,April,Qtr 2,2017,AMERICAS,United States,Missouri,Oils and Butters,Oil,Peru,2017-04
11,0,439.13,575.91,48545.1,October,Qtr 4,2017,AMERICAS,United States,Louisiana,Avocados,Avocado,Peru,2017-10
11,94.82,251.18,32969.66,50486.9,May,Qtr 2,2017,AMERICAS,United States,Kansas,Avocados,Avocado,Dominican Republic,2017-05
12,0,54.73,4.87,363.5,March,Qtr 1,2017,AMERICAS,United States,Nevada,Avocados,Avocado,Dominican Republic,2017-03
8,0,454.73,534.04,47528.8,October,Qtr 4,2017,AMERICAS,United States,Vermont,Avocados,Avocado,Dominican Republic,2017-10
8,0,6.67,42.76,420.9,January,Qtr 1,2017,AMERICAS,United States,Vermont,Avocados,Avocado,Peru,2017-01
6,0,12.11,62.18,763.4,March,Qtr 1,2017,AMERICAS,United States,Kansas,Avocados,Avocado,Peru,2017-03
5,14.74,82.9,108.13,5232.2,June,Qtr 2,2017,AMERICAS,United States,Nevada,Avocados,Avocado,Dominican Republic,2017-06
12,109.19,641.63,3445.57,38762.4,July,Qtr 3,2017,AMERICAS,United States,Kentucky,Oils and Butters,Oil,Peru,2017-07
9,135.84,869.75,2796.08,27832.5,March,Qtr 1,2017,AMERICAS,United States,Alaska,Avocados,Avocado,Peru,2017-03
8,23.87,77.46,303.56,9777.1,January,Qtr 1,2017,AMERICAS,United States,Kansas,Oils and Butters,Oil,Dominican Republic,2017-01
12,41.01,239.39,863.07,12486.3,March,Qtr 1,2017,AMERICAS,United States,Delaware,Avocados,Avocado,Mexico,2017-03
11,172.84,208.15,30053.13,46020.8,October,Qtr 4,2017,AMERICAS,United States,Mississippi,Cosmetics,Hair,Mexico,2017-10
10,0,751.45,3531.09,45397.4,October,Qtr 4,2017,AMERICAS,United States,Montana,Avocados,Avocado,Peru,2017-10
6,2.69,213.24,9.5,718.3,March,Qtr 1,2017,AMERICAS,United States,Alabama,Avocados,Avocado,Dominican Republic,2017-03
11,0,1126.26,4142.34,31716.1,May,Qtr 2,2017,AMERICAS,United States,New York,Avocados,Avocado,Dominican Republic,2017-05
10,0,72.32,92.29,4563.4,June,Qtr 2,2017,AMERICAS,United States,Maryland,Cosmetics,Skin,Dominican Republic,2017-06
6,0.93,4.72,22.35,298.5,March,Qtr 1,2017,AMERICAS,United States,New Mexico,Avocados,Avocado,Peru,2017-03
12,1.03,9.1,6.48,454,July,Qtr 3,2017,AMERICAS,United States,Utah,Avocados,Avocado,Dominican Republic,2017-07
9,18.99,103.7,410.7,11898.4,February,Qtr 1,2017,AMERICAS,United States,Florida,Avocados,Avocado,Dominican Republic,2017-02
22,3.1,18.03,44.73,1630.6,August,Qtr 3,2017,AMERICAS,United States,Nevada,Avocados,Avocado,Dominican Republic,2017-08
14,58.27,357.94,1522.72,15515.4,January,Qtr 1,2017,AMERICAS,United States,Florida,Oils and Butters,Oil,Dominican Republic,2017-01
13,158.57,1173.15,490.31,37541.6,March,Qtr 1,2017,AMERICAS,United States,Washington,Oils and Butters,Oil,Peru,2017-03
19,5.59,26.17,123.6,3503.4,February,Qtr 1,2017,AMERICAS,United States,Ohio,Avocados,Avocado,Dominican Republic,2017-02
9,210.96,447.1,4514.31,44933.4,May,Qtr 2,2017,AMERICAS,United States,Georgia,Avocados,Avocado,Mexico,2017-05
12,5.45,30.68,181.66,1935,March,Qtr 1,2017,AMERICAS,United States,Massachusetts,Avocados,Avocado,Peru,2017-03
6,0,683.85,2666.13,30928.8,April,Qtr 2,2017,AMERICAS,United States,Maine,Oils and Butters,Butter,Peru,2017-04
9,58.57,413.87,4178.27,41593.4,May,Qtr 2,2017,AMERICAS,United States,Maryland,Avocados,Avocado,Peru,2017-05
18,0,431.9,3898.64,45141.5,October,Qtr 4,2017,AMERICAS,United States,Connecticut,Avocados,Avocado,Mexico,2017-10
5,0,41.38,317.02,2912.7,June,Qtr 2,2017,AMERICAS,United States,Michigan,Avocados,Avocado,Mexico,2017-06
13,157.82,380.2,3049.7,42030.4,November,Qtr 4,2017,AMERICAS,United States,Washington,Avocados,Avocado,Dominican Republic,2017-11
13,0,1737.72,5226.22,41992.6,November,Qtr 4,2017,AMERICAS,United States,Pennsylvania,Avocados,Avocado,Peru,2017-11
12,11.49,58.17,222.18,2899.3,March,Qtr 1,2017,AMERICAS,United States,Delaware,Oils and Butters,Oil,Dominican Republic,2017-03
9,41.51,1108.83,3667.91,41498.8,April,Qtr 2,2017,AMERICAS,United States,Oklahoma,Avocados,Avocado,Peru,2017-04
9,60.31,182.44,476.58,11676.7,February,Qtr 1,2017,AMERICAS,United States,South Carolina,Avocados,Avocado,Mexico,2017-02
9,1.13,2.98,13.24,396.3,February,Qtr 1,2017,AMERICAS,United States,Tennessee,Avocados,Avocado,Peru,2017-02
6,18.49,988.85,78.37,5972.3,February,Qtr 1,2017,AMERICAS,United States,New York,Avocados,Avocado,Mexico,2017-02
11,0,413.72,2716.83,29127.1,May,Qtr 2,2017,AMERICAS,United States,North Dakota,Avocados,Avocado,Peru,2017-05
5,51.55,169.57,586.12,8085.5,June,Qtr 2,2017,AMERICAS,United States,Idaho,Cosmetics,Hair,Mexico,2017-06
13,76.23,918.08,5302.62,40596.7,August,Qtr 3,2017,AMERICAS,United States,Texas,Avocados,Avocado,Dominican Republic,2017-08
9,1.59,53.39,2.78,266.1,March,Qtr 1,2017,AMERICAS,United States,West Virginia,Oils and Butters,Butter,Peru,2017-03
12,14.08,47.41,202.06,5983.1,August,Qtr 3,2017,AMERICAS,United States,Mississippi,Oils and Butters,Oil,Dominican Republic,2017-08
